source,brand,temporal_stance,opportunity_area,detectability,n_area,n_cell,proportion,ci_low,ci_high,severity_mean,proximity_weight,oi,gate_reason,ratio,difference,p,n_ajio,n_pool,significant_at_alpha
appstore,ajio,at_purchase,OA-12,strong,24,24,1.0,0.8620237953250198,1.0,2.375,0.3,0.3,,1.0,0.0,,24.0,8.0,False
appstore,myntra,at_purchase,OA-12,strong,5,5,1.0,0.5655175352168252,1.0,2.0,0.3,0.3,,1.0,0.0,,24.0,8.0,False
appstore,nykaa_fashion,at_purchase,OA-12,strong,8,8,1.0,0.6755924351161198,1.0,2.0,0.3,0.3,,1.0,0.0,,24.0,8.0,False
appstore,nykaa_fashion,post_purchase,OA-06,strong,211,845,0.24970414201183433,0.22169667893995523,0.2799770486985616,2.229665071770335,0.5,0.124852,,0.464,-0.1338,0.0,794.0,845.0,True
appstore,nykaa_fashion,post_purchase,OA-11,strong,152,845,0.17988165680473372,0.15545132882708476,0.20720939611957614,2.1184210526315788,0.5,0.089941,,0.5041,-0.0892,0.0,794.0,845.0,True
appstore,ajio,post_purchase,OA-06,strong,92,794,0.11586901763224182,0.09543251777844731,0.14000455652243757,2.21978021978022,0.5,0.057935,,0.464,-0.1338,0.0,794.0,845.0,True
appstore,ajio,post_purchase,OA-04,strong,64,794,0.08060453400503778,0.06362670809860664,0.10162098285940861,2.265625,0.7,0.056423,,1.8408,0.0368,0.00195,794.0,845.0,True
appstore,ajio,post_purchase,OA-11,strong,72,794,0.0906801007556675,0.07262840564836742,0.112673394836182,2.125,0.5,0.04534,,0.5041,-0.0892,0.0,794.0,845.0,True
appstore,ajio,post_purchase,OA-07,strong,83,794,0.10453400503778337,0.08512321740491113,0.12775298367862278,2.63855421686747,0.4,0.041814,,1.6358,0.0406,0.002977,794.0,845.0,True
appstore,nykaa_fashion,post_purchase,OA-04,strong,37,845,0.04378698224852071,0.03193235127871399,0.059770826048227886,2.3783783783783785,0.7,0.030651,,1.8408,0.0368,0.00195,794.0,845.0,True
appstore,nykaa_fashion,post_purchase,OA-07,strong,54,845,0.06390532544378698,0.049307261364119094,0.08245050995878125,2.5555555555555554,0.4,0.025562,,1.6358,0.0406,0.002977,794.0,845.0,True
appstore,myntra,post_purchase,OA-06,strong,26,609,0.042692939244663386,0.02929899350031242,0.06181993785944125,2.4615384615384617,0.5,0.021346,,0.464,-0.1338,0.0,794.0,845.0,True
appstore,ajio,post_purchase,OA-02,strong,16,794,0.020151133501259445,0.012441202378184083,0.032481831420626175,2.875,1.0,0.020151,,2.1285,0.0107,0.071936,794.0,845.0,False
appstore,myntra,post_purchase,OA-11,strong,24,609,0.03940886699507389,0.026623517928946062,0.0579684398678615,2.0,0.5,0.019704,,0.5041,-0.0892,0.0,794.0,845.0,True
appstore,myntra,post_purchase,OA-04,strong,15,609,0.024630541871921183,0.014982257423692925,0.040238319339857116,2.533333333333333,0.7,0.017241,,1.8408,0.0368,0.00195,794.0,845.0,True
appstore,myntra,post_purchase,OA-02,strong,7,609,0.011494252873563218,0.0055787373075858165,0.023533945204179764,3.0,1.0,0.011494,,2.1285,0.0107,0.071936,794.0,845.0,False
appstore,ajio,post_purchase,OA-08,moderate,19,794,0.02392947103274559,0.015372097734803336,0.03707122713645723,2.210526315789474,0.4,0.009572,,1.2638,0.005,0.48454,794.0,845.0,False
appstore,nykaa_fashion,post_purchase,OA-02,strong,8,845,0.009467455621301775,0.004804957905226061,0.018569794369786646,2.625,1.0,0.009467,,2.1285,0.0107,0.071936,794.0,845.0,False
appstore,myntra,post_purchase,OA-07,strong,14,609,0.022988505747126436,0.013742287089602314,0.03821480289247467,2.857142857142857,0.4,0.009195,,1.6358,0.0406,0.002977,794.0,845.0,True
appstore,nykaa_fashion,post_purchase,OA-08,moderate,16,845,0.01893491124260355,0.01168820526800321,0.03053576771098996,2.125,0.4,0.007574,,1.2638,0.005,0.48454,794.0,845.0,False
appstore,nykaa_fashion,post_purchase,OA-01,strong,4,845,0.004733727810650888,0.0018423480141630064,0.012107793908859478,2.5,0.9,0.00426,,0.7982,-0.001,0.766913,794.0,845.0,False
appstore,ajio,post_purchase,OA-12,strong,10,794,0.012594458438287154,0.0068552148438392226,0.023027236810070413,2.4,0.3,0.003778,,3.5474,0.009,0.039128,794.0,845.0,True
appstore,ajio,post_purchase,OA-01,strong,3,794,0.003778337531486146,0.001285789919854386,0.011049315898337853,1.6666666666666667,0.9,0.003401,,0.7982,-0.001,0.766913,794.0,845.0,False
appstore,ajio,post_purchase,OA-03,strong,3,794,0.003778337531486146,0.001285789919854386,0.011049315898337853,1.6666666666666667,0.7,0.002645,,3.1927,0.0026,0.287307,794.0,845.0,False
appstore,myntra,post_purchase,OA-12,strong,3,609,0.0049261083743842365,0.0016767059513896577,0.014382029434483697,2.3333333333333335,0.3,0.001478,,3.5474,0.009,0.039128,794.0,845.0,True
appstore,myntra,post_purchase,OA-03,strong,1,609,0.0016420361247947454,0.0002899185268731442,0.009241843296054094,1.0,0.7,0.001149,,3.1927,0.0026,0.287307,794.0,845.0,False
appstore,nykaa_fashion,post_purchase,OA-12,strong,3,845,0.0035502958579881655,0.0012081397979143626,0.010385849537110563,2.6666666666666665,0.3,0.001065,,3.5474,0.009,0.039128,794.0,845.0,True
appstore,nykaa_fashion,post_purchase,OA-03,strong,1,845,0.001183431952662722,0.00020893535326678772,0.006672748805763024,2.0,0.7,0.000828,,3.1927,0.0026,0.287307,794.0,845.0,False
